day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-08-05,long,2025-08-05 09:41:00-04:00,23356.25,2025-08-05 09:45:30-04:00,23369.8,67.74999999999636,5,115.0,win,target_scale1,23344.75,23362.25,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,11.5,23370.05,,,0.6428571428571429,0,False,0.5639814794063568
2025-08-05,long,2025-08-05 09:41:00-04:00,23356.25,2025-08-05 09:47:00-04:00,23384.75,142.5,5,115.0,win,target_scale2,23344.75,23362.25,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,11.5,23385.0,,,0.6428571428571429,0,False,0.5639814794063568
2025-08-05,long,2025-08-05 09:41:00-04:00,23356.25,2025-08-05 10:02:00-04:00,23336.75,-97.5,5,115.0,loss,stop,23344.75,23362.25,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,2025-08-05 09:40:00-04:00,11.5,23402.25,2025-08-05 10:02:00-04:00,23344.75,0.6428571428571429,0,False,0.5639814794063568
2025-08-05,long,2025-08-05 10:05:00-04:00,23327.75,2025-08-05 10:05:30-04:00,23330.5,68.75,25,125.0,win,target_scale1,23325.25,23362.25,2025-08-05 10:04:00-04:00,2025-08-05 10:04:00-04:00,2025-08-05 10:05:00-04:00,2.5,23330.75,,,0.060810810810810814,0,False,0.4020537376403809
2025-08-05,long,2025-08-05 10:05:00-04:00,23327.75,2025-08-05 10:06:00-04:00,23319.0,-218.75,25,125.0,loss,stop,23325.25,23362.25,2025-08-05 10:04:00-04:00,2025-08-05 10:04:00-04:00,2025-08-05 10:05:00-04:00,2.5,23334.0,2025-08-05 10:06:00-04:00,23325.25,0.060810810810810814,0,False,0.4020537376403809
2025-08-05,long,2025-08-05 10:10:00-04:00,23336.75,2025-08-05 10:11:00-04:00,23350.6,69.24999999999272,5,117.5,win,target_scale1,23325.0,23362.25,2025-08-05 10:09:00-04:00,2025-08-05 10:09:00-04:00,2025-08-05 10:10:00-04:00,11.75,23350.85,,,0.3087248322147651,1,False,0.5041771471500397
2025-08-05,long,2025-08-05 10:10:00-04:00,23336.75,2025-08-05 10:13:00-04:00,23313.5,-116.25,5,117.5,loss,stop,23325.0,23362.25,2025-08-05 10:09:00-04:00,2025-08-05 10:09:00-04:00,2025-08-05 10:10:00-04:00,11.75,23366.125,2025-08-05 10:13:00-04:00,23325.0,0.3087248322147651,1,False,0.5041771471500397
2025-08-05,long,2025-08-05 10:15:00-04:00,23313.5,2025-08-05 10:15:30-04:00,23321.35,70.6499999999869,9,121.5,win,target_scale1,23306.75,23362.25,2025-08-05 10:14:00-04:00,2025-08-05 10:14:00-04:00,2025-08-05 10:14:00-04:00,6.75,23321.6,,,0.11711711711711711,0,False,0.5575104832649231
2025-08-05,long,2025-08-05 10:15:00-04:00,23313.5,2025-08-05 10:18:00-04:00,23296.75,-150.75,9,121.5,loss,direction_flip,23306.75,23362.25,2025-08-05 10:14:00-04:00,2025-08-05 10:14:00-04:00,2025-08-05 10:14:00-04:00,6.75,23330.375,2025-08-05 10:18:00-04:00,23306.75,0.11711711711711711,0,False,0.5575104832649231
2025-08-05,short,2025-08-05 10:21:00-04:00,23296.5,2025-08-05 10:23:00-04:00,23278.75,71.0,4,120.0,win,target_scale1,23311.5,23292.75,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,15.0,23278.5,,,0.7866666666666666,0,False,0.64849933385849
2025-08-05,short,2025-08-05 10:21:00-04:00,23296.5,2025-08-05 10:32:00-04:00,23259.25,149.0,4,120.0,win,target_scale2,23311.5,23292.75,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,15.0,23259.0,,,0.7866666666666666,0,False,0.64849933385849
2025-08-05,short,2025-08-05 10:21:00-04:00,23296.5,2025-08-05 10:38:00-04:00,23236.75,239.0,4,120.0,win,target_scale3,23311.5,23292.75,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,15.0,23236.5,,,0.7866666666666666,0,False,0.64849933385849
2025-08-05,short,2025-08-05 10:21:00-04:00,23296.5,2025-08-05 10:43:30-04:00,23199.25,389.0,4,120.0,win,target,23311.5,23292.75,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,2025-08-05 10:20:00-04:00,15.0,23199.0,,,0.7866666666666666,0,False,0.64849933385849
2025-08-06,long,2025-08-06 09:38:00-04:00,23183.0,2025-08-06 09:40:00-04:00,23159.25,-261.25,11,478.5,loss,stop,23161.25,23228.0,2025-08-06 09:37:00-04:00,2025-08-06 09:37:00-04:00,2025-08-06 09:38:00-04:00,21.75,23209.1,2025-08-06 09:40:00-04:00,23161.25,0.32209737827715357,1,False,0.6024600148200989
2025-08-06,short,2025-08-06 09:43:00-04:00,23172.0,2025-08-06 09:43:30-04:00,23168.65,66.9999999999709,20,120.0,win,target_scale1,23175.0,23148.75,2025-08-06 09:42:00-04:00,2025-08-06 09:42:00-04:00,2025-08-06 09:43:00-04:00,3.0,23168.4,,,0.10476190476190476,0,False,0.49007371068000793
2025-08-06,short,2025-08-06 09:43:00-04:00,23172.0,2025-08-06 09:44:00-04:00,23181.25,-185.0,20,120.0,loss,stop,23175.0,23148.75,2025-08-06 09:42:00-04:00,2025-08-06 09:42:00-04:00,2025-08-06 09:43:00-04:00,3.0,23164.5,2025-08-06 09:44:00-04:00,23175.0,0.10476190476190476,0,False,0.49007371068000793
2025-08-06,long,2025-08-06 09:53:00-04:00,23202.75,2025-08-06 09:54:30-04:00,23237.6,69.69999999999709,2,117.0,win,target_scale1,23173.5,23239.5,2025-08-06 09:52:00-04:00,2025-08-06 09:52:00-04:00,2025-08-06 09:53:00-04:00,29.25,23237.85,,,0.4393939393939394,2,False,0.6024600148200989
2025-08-06,long,2025-08-06 09:53:00-04:00,23202.75,2025-08-06 10:05:00-04:00,23261.0,116.5,2,117.0,win,target_scale2,23173.5,23239.5,2025-08-06 09:52:00-04:00,2025-08-06 09:52:00-04:00,2025-08-06 09:53:00-04:00,29.25,23261.25,,,0.4393939393939394,2,False,0.6024600148200989
2025-08-06,long,2025-08-06 09:53:00-04:00,23202.75,2025-08-06 10:24:00-04:00,23167.5,-141.0,4,234.0,loss,stop,23173.5,23239.5,2025-08-06 09:52:00-04:00,2025-08-06 09:52:00-04:00,2025-08-06 09:53:00-04:00,29.25,23290.5,2025-08-06 10:24:00-04:00,23173.5,0.4393939393939394,2,False,0.6024600148200989
2025-08-06,long,2025-08-06 10:27:00-04:00,23172.5,2025-08-06 10:28:00-04:00,23177.65,66.95000000001892,13,117.0,win,target_scale1,23168.0,23239.5,2025-08-06 10:26:00-04:00,2025-08-06 10:26:00-04:00,2025-08-06 10:27:00-04:00,4.5,23177.9,,,0.05944055944055944,0,False,0.4755152761936188
2025-08-06,long,2025-08-06 10:27:00-04:00,23172.5,2025-08-06 10:28:30-04:00,23183.5,143.0,13,117.0,win,target_scale2,23168.0,23239.5,2025-08-06 10:26:00-04:00,2025-08-06 10:26:00-04:00,2025-08-06 10:27:00-04:00,4.5,23183.75,,,0.05944055944055944,0,False,0.4755152761936188
2025-08-06,long,2025-08-06 10:27:00-04:00,23172.5,2025-08-06 10:29:00-04:00,23190.25,230.75,13,117.0,win,target_scale3,23168.0,23239.5,2025-08-06 10:26:00-04:00,2025-08-06 10:26:00-04:00,2025-08-06 10:27:00-04:00,4.5,23190.5,,,0.05944055944055944,0,False,0.4755152761936188
2025-08-06,long,2025-08-06 10:27:00-04:00,23172.5,2025-08-06 10:30:00-04:00,23201.5,464.0,16,144.0,win,target,23168.0,23239.5,2025-08-06 10:26:00-04:00,2025-08-06 10:26:00-04:00,2025-08-06 10:27:00-04:00,4.5,23201.75,,,0.05944055944055944,0,False,0.4755152761936188
2025-08-06,long,2025-08-06 10:32:00-04:00,23201.75,2025-08-06 10:37:00-04:00,23228.2,52.900000000001455,2,89.0,win,target_scale1,23179.5,23239.5,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,22.25,23228.45,,,0.36666666666666664,0,False,0.5591771483421326
2025-08-06,long,2025-08-06 10:32:00-04:00,23201.75,2025-08-06 10:37:00-04:00,23246.0,132.75,3,133.5,win,target_scale2,23179.5,23239.5,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,22.25,23246.25,,,0.36666666666666664,0,False,0.5591771483421326
2025-08-06,long,2025-08-06 10:32:00-04:00,23201.75,2025-08-06 10:46:30-04:00,23268.25,399.0,6,267.0,win,target,23179.5,23239.5,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,2025-08-06 10:31:00-04:00,22.25,23268.5,,,0.36666666666666664,0,False,0.5591771483421326
