day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-03,long,2025-01-03 09:53:00-05:00,21340.25,2025-01-03 10:00:30-05:00,21403.75,127.0,2,127.0,win,target_scale2,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,31.75,21403.75,,,0.251984126984127,1,False,0.5681906342506409
2025-01-03,long,2025-01-03 09:53:00-05:00,21340.25,2025-01-03 10:05:30-05:00,21435.5,381.0,4,254.0,win,target,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,31.75,21435.5,,,0.251984126984127,1,False,0.5681906342506409
2025-01-03,long,2025-01-03 10:19:00-05:00,21315.0,2025-01-03 10:21:00-05:00,21279.5,-497.0,14,483.0,loss,stop,21297.75,21440.75,2025-01-03 10:18:00-05:00,2025-01-03 10:18:00-05:00,2025-01-03 10:19:00-05:00,17.25,21335.7,2025-01-03 10:21:00-05:00,21297.75,0.12062937062937062,0,False,0.5860352575778961
2025-01-03,short,2025-01-03 10:24:00-05:00,21297.75,2025-01-03 10:25:00-05:00,21322.25,-661.5,27,486.0,loss,direction_flip,21306.75,21260.75,2025-01-03 10:23:00-05:00,2025-01-03 10:23:00-05:00,2025-01-03 10:24:00-05:00,9.0,21286.95,2025-01-03 10:25:00-05:00,21306.75,0.1956521739130435,0,False,0.42051527500152586
2025-01-03,long,2025-01-03 10:32:00-05:00,21323.25,2025-01-03 10:35:00-05:00,21355.05,63.599999999998545,2,106.0,win,target_scale1,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,26.5,21355.05,,,0.572972972972973,0,False,0.46996204257011415
2025-01-03,long,2025-01-03 10:32:00-05:00,21323.25,2025-01-03 10:36:30-05:00,21376.25,159.0,3,159.0,win,target_scale2,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,26.5,21376.25,,,0.572972972972973,0,False,0.46996204257011415
2025-01-03,long,2025-01-03 10:32:00-05:00,21323.25,2025-01-03 11:04:00-05:00,21402.75,318.0,4,212.0,win,target,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,26.5,21402.75,,,0.572972972972973,0,False,0.46996204257011415
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:41:00-05:00,21804.1,52.19999999999709,2,87.0,win,target_scale1,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21804.1,,,0.58,0,False,0.7031181216239929
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:44:00-05:00,21821.5,130.5,3,130.5,win,target_scale2,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21821.5,,,0.58,0,False,0.7031181216239929
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:54:00-05:00,21843.25,391.5,6,261.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21843.25,,,0.58,0,False,0.7031181216239929
2025-01-07,short,2025-01-07 09:47:00-05:00,21765.75,2025-01-07 09:53:00-05:00,21790.75,-275.0,11,478.5,loss,stop,21787.5,21695.0,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,21.75,21739.65,2025-01-07 09:53:00-05:00,21787.5,0.23513513513513515,0,False,0.5591771483421326
2025-01-08,long,2025-01-08 09:38:00-05:00,21332.25,2025-01-08 09:38:30-05:00,21338.55,69.299999999992,11,115.5,win,target_scale1,21327.0,21384.75,2025-01-08 09:37:00-05:00,2025-01-08 09:37:00-05:00,2025-01-08 09:38:00-05:00,5.25,21338.55,,,0.09090909090909091,1,False,0.590854161977768
2025-01-08,long,2025-01-08 09:38:00-05:00,21332.25,2025-01-08 09:39:00-05:00,21324.25,-88.0,11,115.5,loss,direction_flip,21327.0,21384.75,2025-01-08 09:37:00-05:00,2025-01-08 09:37:00-05:00,2025-01-08 09:38:00-05:00,5.25,21345.375,2025-01-08 09:39:00-05:00,21327.0,0.09090909090909091,1,False,0.590854161977768
2025-01-08,short,2025-01-08 09:43:00-05:00,21333.25,2025-01-08 09:44:00-05:00,21307.45,51.599999999998545,2,86.0,win,target_scale1,21354.75,21289.75,2025-01-08 09:42:00-05:00,2025-01-08 09:42:00-05:00,2025-01-08 09:43:00-05:00,21.5,21307.45,,,0.33076923076923076,0,False,0.5591771483421326
2025-01-08,short,2025-01-08 09:43:00-05:00,21333.25,2025-01-08 09:45:00-05:00,21356.0,-68.25,3,129.0,loss,stop,21354.75,21289.75,2025-01-08 09:42:00-05:00,2025-01-08 09:42:00-05:00,2025-01-08 09:43:00-05:00,21.5,21290.25,2025-01-08 09:45:00-05:00,21354.75,0.33076923076923076,0,False,0.5591771483421326
2025-01-08,short,2025-01-08 09:49:00-05:00,21343.25,2025-01-08 09:50:00-05:00,21368.25,-550.0,22,495.0,loss,direction_flip,21354.5,21303.5,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,11.25,21329.75,2025-01-08 09:50:00-05:00,21354.5,0.22058823529411764,0,False,0.5575104832649231
2025-01-08,long,2025-01-08 09:52:00-05:00,21378.0,2025-01-08 09:53:00-05:00,21320.75,-515.25,9,490.5,loss,direction_flip,21350.75,21381.75,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,27.25,21410.7,2025-01-08 09:53:00-05:00,21350.75,0.8790322580645161,0,False,0.6177122712135314
